ref_area,indicator,source,classif1,classif2,time,obs_value,note_indicator,note_source
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2013,21.5,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2010,32.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2010,19.8,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2010,18.4,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2010,28.9,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2010,18.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2010,13.1,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2010,34.9,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2010,21.8,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2010,19.4,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2010,28,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2010,14.1,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BA:253,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2010,18.7,,S16:5837
CHE,FOW_TVOL_AGE_VOL_RT,BB:13356,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2015,36.5,,S16:5832_T2:85
CHE,FOW_TVOL_AGE_VOL_RT,BB:13356,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2015,48.2,,S16:5832_T2:85
CHE,FOW_TVOL_AGE_VOL_RT,BB:13356,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2015,39.3,,S16:5832_T2:85
CHE,FOW_TVOL_AGE_VOL_RT,BB:13356,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2015,44.2,,S16:5832_T2:85
CHE,FOW_TVOL_AGE_VOL_RT,BB:13356,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2015,37.9,,S16:5832_T2:85
CHE,FOW_TVOL_AGE_VOL_RT,BB:13356,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2015,47.6,,S16:5832_T2:85
CHE,FOW_TVOL_AGE_VOL_RT,BB:13356,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2015,30.2,,S16:5832_T2:85
CHE,FOW_TVOL_AGE_VOL_RT,BB:13356,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2015,52.3,,S16:5832_T2:85
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2019,2.4,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2019,2.2,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2019,2.4,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2019,2.8,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2018,2.5,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2018,2.3,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2018,2.4,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2018,2.8,I33:5717,S16:5840
